,date,score,comments,retweets,likes,id,text
0,2023-01-20,-1,295,361,41422,1,The sad tree likes to jump.
1,2023-01-21,0,413,84,42108,2,The loud flower likes to swim.
2,2023-01-22,1,1391,40,29095,3,The slow house likes to write.
3,2023-01-23,1,673,248,30838,4,The sad dog likes to run.
4,2023-01-24,1,1289,349,46770,5,The sad cat likes to read.
5,2023-01-25,1,1463,214,950,6,The fast computer likes to study.
6,2023-01-26,0,485,126,41321,7,The quiet book likes to study.
7,2023-01-27,0,136,96,37670,8,The quiet computer likes to study.
8,2023-01-20,0,297,142,16338,9,The slow house likes to jump.
9,2023-01-21,1,480,375,6086,10,The fast house likes to swim.
10,2023-01-22,-1,1473,342,24104,11,The quiet flower likes to play.
11,2023-01-23,-1,1773,467,40199,12,The small dog likes to study.
12,2023-01-24,0,499,54,34770,13,The big house likes to swim.
13,2023-01-25,0,1617,411,21350,14,The small book likes to study.
14,2023-01-26,1,1745,196,8411,15,The quiet computer likes to swim.
15,2023-01-27,0,27,66,44434,16,The small tree likes to write.
16,2023-01-20,-1,306,40,17773,17,The sad flower likes to jump.
17,2023-01-21,1,1573,275,3273,18,The happy car likes to drive.
18,2023-01-22,0,31,475,29766,19,The quiet cat likes to jump.
19,2023-01-23,0,296,311,42359,20,The small cat likes to jump.
20,2023-01-24,0,434,48,748,21,The sad computer likes to play.
21,2023-01-25,1,723,492,47867,22,The fast cat likes to read.
22,2023-01-26,-1,1301,36,10176,23,The fast car likes to jump.
23,2023-01-27,-1,958,71,33613,24,The slow house likes to jump.
24,2023-01-20,1,1777,290,29169,25,The sad computer likes to study.
25,2023-01-21,0,1778,456,33177,26,The fast house likes to play.
26,2023-01-22,0,1487,137,47352,27,The slow cat likes to jump.
27,2023-01-23,0,143,397,31438,28,The fast computer likes to study.
28,2023-01-24,1,1145,232,44255,29,The small house likes to read.
29,2023-01-25,-1,693,267,20849,30,The slow dog likes to drive.
30,2023-01-26,-1,1979,80,29531,31,The happy house likes to read.
31,2023-01-27,0,635,88,6044,32,The happy computer likes to swim.
32,2023-01-20,0,462,415,25712,33,The big tree likes to run.
33,2023-01-21,1,919,72,19609,34,The small cat likes to study.
34,2023-01-22,0,530,241,36271,35,The fast cat likes to swim.
35,2023-01-23,-1,533,430,19546,36,The slow car likes to swim.
36,2023-01-24,1,1174,290,41213,37,The quiet cat likes to jump.
37,2023-01-25,0,150,214,34312,38,The big flower likes to swim.
38,2023-01-26,0,692,104,19901,39,The sad flower likes to drive.
39,2023-01-27,0,847,130,2284,40,The small tree likes to play.
40,2023-01-20,0,501,265,13141,41,The happy car likes to study.
41,2023-01-21,1,238,99,7314,42,The big book likes to swim.
42,2023-01-22,0,1270,407,18605,43,The slow computer likes to drive.
43,2023-01-23,-1,1025,78,22754,44,The big house likes to play.
44,2023-01-24,1,1036,137,39703,45,The loud house likes to write.
45,2023-01-25,0,725,264,8552,46,The loud house likes to play.
46,2023-01-26,0,319,82,23774,47,The sad computer likes to study.
47,2023-01-27,1,16,26,47851,48,The sad book likes to run.
